6.883177161216735840e-01 1.166465163230895996e+00 8.980367183685302734e-01 3.921168744564056396e-01 6.438840866088867188e+00
8.685231208801269531e-01 4.477665126323699951e-01 9.273837804794311523e-01 2.556940615177154541e-01 2.346809864044189453e+00
9.029613137245178223e-01 3.324322104454040527e-01 9.431089758872985840e-01 1.982798576354980469e-01 2.338626623153686523e+00
9.190532565116882324e-01 2.713319957256317139e-01 9.532251358032226562e-01 1.598006486892700195e-01 2.345855474472045898e+00
9.341610670089721680e-01 2.282388806343078613e-01 9.610378146171569824e-01 1.328766494989395142e-01 2.331102132797241211e+00
9.427590370178222656e-01 1.962241381406784058e-01 9.654448032379150391e-01 1.143434122204780579e-01 2.340330839157104492e+00
9.502209424972534180e-01 1.723345071077346802e-01 9.687500000000000000e-01 1.005338579416275024e-01 2.334942102432250977e+00
9.548617601394653320e-01 1.557562351226806641e-01 9.726561903953552246e-01 8.794687688350677490e-02 2.384412527084350586e+00
9.589015245437622070e-01 1.399793326854705811e-01 9.751603007316589355e-01 7.857482880353927612e-02 2.608784914016723633e+00
9.624404311180114746e-01 1.295838803052902222e-01 9.776643514633178711e-01 7.302796840667724609e-02 2.373261928558349609e+00
9.663799405097961426e-01 1.153669282793998718e-01 9.786658883094787598e-01 6.659244000911712646e-02 2.357921600341796875e+00
9.671309590339660645e-01 1.093677729368209839e-01 9.800682067871093750e-01 6.201770901679992676e-02 2.409476518630981445e+00
9.694177508354187012e-01 1.037823930382728577e-01 9.819712638854980469e-01 5.799077823758125305e-02 2.392759323120117188e+00
9.717377424240112305e-01 9.668794274330139160e-02 9.828727245330810547e-01 5.445045605301856995e-02 2.341109752655029297e+00
9.723218679428100586e-01 9.351935982704162598e-02 9.828726053237915039e-01 5.284877866506576538e-02 2.327739715576171875e+00
9.745919704437255859e-01 8.712437748908996582e-02 9.831731319427490234e-01 4.993863403797149658e-02 2.314246892929077148e+00
